name,address,contract,column,provider,baseurl,apikey
Ethereum,0x999611CdCd49DaF6E152E383ad664DEF5f7d4681,0x514910771af9ca656af840dff83e8264ecf986ca,2,etherscan,https://api.etherscan.io,GAA652MXYES2TBQ1CV2NVIUW2G7VNXAJKN
Polygon,0x999611CdCd49DaF6E152E383ad664DEF5f7d4681,0xb0897686c545045afc77cf20ec7a532e3120e0f1,4,etherscan,https://api.polygonscan.com,DXGIV8S1HJ99192XYREHSZM89JKXFJ7YJP
Fantom,0x999611CdCd49DaF6E152E383ad664DEF5f7d4681,0x6f43ff82cca38001b6699a8ac47a2d0e66939407,8,etherscan-all,https://api.ftmscan.com,ZQEG759PQNPAXWRHJF1MXSPVS65AV1Y4JZ
Huobi,0x999611CdCd49DaF6E152E383ad664DEF5f7d4681,0x9e004545c59d359f6b7bfb06a26390b087717b42,10,etherscan-all,https://api.hecoinfo.com,NIBFG4TC6D6WYNIQUUTYNW6Q39W27CXW1J
RocketPool,0x999611CdCd49DaF6E152E383ad664DEF5f7d4681,0xd33526068d116ce69f19a9ee46f0bd304f21a51f,16,etherscan,https://api.etherscan.io,GAA652MXYES2TBQ1CV2NVIUW2G7VNXAJKN
Optimism,0x999611CdCd49DaF6E152E383ad664DEF5f7d4681,0x350a791bfc2c21f9ed5d10980dad2e2638ffa7f6,6,etherscan-all-cf,https://api-optimistic.etherscan.io,826HFDUYJGDSMVQCBRHJFNE6DQNIUZV1YA
